file,r_arm_mean,r_arm_variance,l_arm_mean,l_arm_variance,r_armpit_mean,r_armpit_variance,l_armpit_mean,l_armpit_variance,r_hip_mean,r_hip_variance,l_hip_mean,l_hip_variance,class
20211024_222239.mp4,213.87070175438598,2021.2489145474306,223.95245614035088,2624.7769231175284,234.47201754385964,27876.234970229776,236.2169298245614,27006.169780756092,183.87859649122808,17.343631641049527,179.78850877192983,9.799389791957779,0
20211024_222245.mp4,219.6240157480315,2315.7241242219725,225.4911811023622,3175.5062724034497,193.22338582677165,30631.34860511186,118.221968503937,25847.387703237095,180.68527559055119,29.175312423447068,177.83023622047244,21.202683277090372,0
bad_1.MOV,216.32368421052632,1546.5112915413536,232.03175438596492,2251.7117147243107,157.3840350877193,31039.14683878446,270.93614035087717,20615.193974122805,187.73842105263157,94.90079924812032,188.86122807017543,81.6107252506266,0
PY Bad1.mp4,117.8525641025641,3009.7306608724607,125.16935897435897,2671.895128155178,345.29358974358973,83.49899733599732,331.15628205128206,5835.7366885947395,181.25333333333333,7.284458874458874,185.15589743589743,7.911406327006323,0
PY Bad10.mp4,123.79303797468354,1294.8327547549497,120.60544303797468,1577.7499097370983,173.37569620253166,22485.120381239856,197.01556962025316,23060.20496088932,183.78708860759494,11.259905517689075,187.43303797468354,74.87207013956508,0
PY Bad11.mp4,98.59478260869565,1439.553392966752,93.67623188405797,1665.9306091219098,139.99913043478261,23338.029016879795,154.09811594202898,25832.839321398125,185.77884057971013,46.552936871270276,187.94811594202898,104.56255080988919,0
PY Bad2.mp4,123.49827956989247,1473.2118383122956,122.80032258064516,1208.8967205469846,171.4143010752688,20323.407496517066,145.08430107526883,21554.98315738663,178.6684946236559,4.636452057035993,184.95612903225808,7.69646746143058,0
PY Bad3.mp4,147.20974193548386,1774.6388492836195,141.66535483870967,1529.4738691914538,259.7392258064516,23115.552011085045,167.67612903225807,30649.335049853373,182.83316129032258,6.040785395894431,186.91032258064516,51.037631713447844,0
PY Bad4.mp4,132.103375,2699.724941629747,159.528125,99.5174078322785,327.47825,1790.419951329114,347.655125,68.5975063132911,183.118375,6.411236566455693,185.765875,7.9289435284810095,0
PY Bad5.mp4,112.61086206896552,4077.326941349062,139.53310344827585,394.7648673926195,313.32206896551725,2788.2861359951603,329.06741379310347,1244.8987423169995,180.1956896551724,5.25739337568058,184.3539655172414,2.1721822444041163,0
PY Bad6.mp4,127.6159649122807,1294.8231102130326,152.19526315789474,152.2141932330827,315.43298245614034,1387.7631855889724,333.7547368421053,317.0708718045114,178.53122807017544,7.221789536340851,181.8578947368421,6.642545488721797,0
PY Bad7.mp4,116.09290598290599,2790.083982861774,110.55427350427351,3045.0450867521367,186.1074358974359,25050.07346061008,148.88119658119658,25661.42549855585,183.01008547008547,8.587664647804296,185.61897435897436,112.39123342175067,0
PY Bad8.mp4,130.16306451612903,381.9574838974088,124.06225806451613,597.2136800634585,163.24806451612903,20285.58886176626,185.32451612903225,20609.850939925967,187.11370967741937,60.5604958487573,188.58564516129033,333.2389266261238,0
PY Bad9.mp4,130.16306451612903,381.9574838974088,124.06225806451613,597.2136800634585,163.24806451612903,20285.58886176626,185.32451612903225,20609.850939925967,187.11370967741937,60.5604958487573,188.58564516129033,333.2389266261238,0
ry_bad_1.MOV,134.6404081632653,946.5742039965986,137.95857142857142,896.6751583333333,348.2185714285714,11.367904166666648,29.355918367346938,7333.849887159864,187.77489795918368,11.3842505102041,174.35938775510203,97.20239753401364,0
ry_bad_10.MOV,210.66641025641024,713.2879999334,223.06076923076924,686.0900643356645,347.48487179487176,16.16616556776557,16.99897435897436,3.1238378954378954,184.30410256410255,5.235460872460863,171.57256410256412,13.078959573759574,0
ry_bad_2.MOV,226.39772727272728,1842.2359993706293,234.09787878787878,2664.125401585082,340.45772727272725,74.09781167832166,205.52575757575758,28450.985778648017,183.70363636363638,12.499657342657324,167.80636363636364,21.32077118881119,0
ry_bad_3.MOV,125.52469696969698,1475.2735022144523,129.95030303030302,1050.4107445221443,348.280303030303,4.223015291375271,4.8539393939393936,7.529073473193473,189.04803030303032,1.7351975990675987,176.29363636363635,4.757961958041961,0
ry_bad_4.MOV,121.47153846153846,1236.480448567119,123.28192307692308,1196.844192307692,350.35076923076923,5.050630769230767,10.173653846153845,14.140592269984916,185.2723076923077,109.29496711915537,174.88673076923078,54.68132047511311,0
