,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
215,300.75,321.9,1.99,46.58,27.98,13.86
216,65.67,37.13,13.47,42.39,4.39,356.53
217,208.21,204.14,297.77,307.15,8.06,346.34
218,207.63,307.93,298.43,37.65,81.34,35.82
219,210.37,287.69,298.57,35.18,103.35,191.3
220,202.16,202.02,300.25,325.34,6.99,323.34
221,202.23,186.72,310.81,335.45,42.76,92.43
222,194.46,215.73,306.92,41.98,96.44,96.8
223,196.51,237.75,313.44,20.7,98.48,99.57
224,191.61,198.11,314.37,346.34,78.66,61.07
225,210.63,192.46,356.66,327.1,48.63,25.36
226,239.27,191.68,357.14,330.93,26.1,25.22
227,210.76,211.37,358.42,324.68,22.59,10.51
228,164.22,206.9,290.69,10.25,335.85,296.95
229,166.76,196.22,294.89,359.64,176.22,170.26
230,167.91,216.11,283.17,37.03,192.77,151.22
231,164.02,209.49,287.2,23.52,197.71,165.13
232,156.72,209.11,282.36,13.91,199.64,164.43
233,164.38,217.31,289.14,27.91,207.58,157.67
234,169.84,218.49,305.13,20.08,191.7,171.47
235,166.89,207.53,302.58,22.98,190.71,158.29
236,163.88,201.84,300.29,19.68,192.72,139.22
237,171.44,204.55,307.01,18.12,195.91,150.9
238,159.48,204.15,296.08,16.34,182.84,131.77
239,159.74,212.29,296.29,21.38,44.1,329.49
240,162.73,193.1,303.35,356.04,19.97,4.81
241,152.45,199.56,297.57,354.57,343.15,296.3
242,138.36,217.32,274.31,28.88,255.92,204.38
243,140.78,179.69,282.68,347.27,282.24,213.17
244,143.56,183.59,286.18,352.19,235.87,211.14
245,150.21,191.29,291.51,18.16,50.73,332.42
246,152.59,201.75,296.34,15.8,270.83,279.22
247,151.5,203.26,294.25,19.47,269.65,255.82
248,149.31,207.45,289.83,43.42,262.25,299.57
249,136.44,228.83,272.09,42.74,199.28,173.57
250,140.46,217.22,272.11,39.02,208.24,195.47
251,142.98,200.84,276.2,35.27,190.47,84.16
252,142.17,206.63,276.14,38.18,202.78,151.21
253,149.59,212.74,275.46,52.19,207.46,138.93
254,175.76,196.37,311.8,29.29,189.72,134.27
255,168.33,196.35,305.97,26.6,147.65,62.54
256,168.05,213.12,303.46,25.01,175.72,126.51
257,187.52,210.64,312.46,332.4,121.28,112.22
258,169.26,203.13,295.54,344.99,145.35,125.54
259,218.01,357.29,314.76,18.32,315.27,315.02
260,231.14,353.89,332.03,11.59,320.83,342.94
261,221.69,348.1,328.12,8.32,317.04,334.41
262,209.55,344.96,331.4,7.72,309.55,324.13
263,217.33,351.17,340.34,11.33,294.34,16.71
264,208.53,351.67,340.72,15.05,254.69,159.58
265,194.93,353.43,350.35,12.53,256.2,212.63
266,196.02,351.73,345.8,8.33,245.56,149.99
267,176.99,210.07,347.69,4.63,242.95,181.94
268,199.81,352.91,351.91,9.34,243.44,116.76
269,189.33,349.13,352.14,5.93,241.12,92.36
270,178.43,356.23,348.31,8.93,242.52,95.96
271,177.38,351.6,349.19,9.1,231.18,95.19
272,157.29,356.01,350.43,7.4,236.01,97.39
273,162.9,331.82,357.12,6.35,239.36,101.49
274,170.12,224.18,0.26,7.43,247.25,102.97
275,132.28,240.88,358.13,11.5,225.11,157.63
276,140.83,180.03,0.88,10.32,217.44,125.93
277,111.44,185.96,357.91,20.25,195.69,157.58
278,135.58,187.88,358.87,17.1,225.01,107.91
279,273.14,148.64,306.27,107.04,28.15,13.47
280,38.62,121.55,30.15,77.97,36.33,23.8
281,240.83,191.26,327.75,270.99,29.45,35.61
282,199.01,141.18,275.62,87.76,45.6,45.08
283,180.87,342.97,262.47,64.78,61.27,79.52
284,187.19,353.64,263.31,54.62,23.51,28.09
285,195.3,356.53,267.75,49.57,11.29,34.48
286,215.98,1.29,277.71,48.13,6.09,32.05
287,224.96,7.02,282.37,37.7,17.88,23.64
288,221.28,359.97,278.47,24.66,16.41,15.68
289,226.63,305.03,275.38,319.27,9.06,14.04
290,223.83,258.0,271.92,270.99,26.3,16.29
291,224.32,259.86,272.21,267.41,29.93,21.31
292,231.41,253.42,272.24,264.47,25.84,25.08
293,228.44,176.48,263.16,196.06,16.62,20.34
294,224.82,195.53,259.11,209.88,15.01,19.57
295,229.54,217.27,264.17,229.6,17.31,26.8
296,247.35,150.96,280.87,146.94,27.82,30.28
297,249.46,102.29,276.67,103.36,25.27,28.27
298,238.32,105.19,261.82,108.06,25.39,29.03
299,229.44,128.18,246.21,138.37,21.28,22.96
300,228.87,125.67,243.7,142.95,19.35,19.38
301,225.85,140.3,238.52,161.61,19.85,20.67
302,221.78,132.34,236.68,156.24,24.42,20.51
303,224.54,118.41,235.55,150.11,24.05,20.35
304,227.17,113.83,237.23,154.51,22.62,23.12
305,244.76,191.58,7.11,329.98,233.51,246.88
306,18.95,278.41,314.86,0.88,285.71,268.77
307,32.35,247.63,315.63,339.55,263.56,270.53
308,21.05,262.27,322.36,350.35,284.1,280.19
309,17.79,251.04,328.9,347.62,279.73,286.31
310,25.62,237.34,325.84,346.6,271.68,282.89
311,22.89,218.85,321.57,348.5,267.37,287.52
312,351.67,162.35,15.55,32.8,216.08,210.3
313,14.65,345.83,27.24,37.15,207.74,203.05
314,18.31,253.0,18.81,40.05,230.9,212.16
315,344.16,263.37,13.64,35.4,218.76,225.1
316,28.85,236.41,36.76,32.52,205.34,214.59
317,44.56,196.74,40.35,31.0,200.68,208.34
318,22.01,336.45,36.62,26.62,204.16,195.79
319,26.54,326.13,35.8,28.45,204.05,199.94
320,40.54,321.76,41.27,30.0,215.81,213.05
321,26.51,28.27,17.2,46.99,129.9,82.46
322,8.47,35.93,2.2,56.36,68.49,52.85
323,24.85,42.8,16.98,60.49,73.59,48.57
324,24.13,29.23,26.25,40.92,149.76,95.23
325,6.59,158.52,2.98,53.68,257.79,101.92
326,22.92,147.67,12.45,56.16,239.68,91.82
327,44.58,90.74,32.03,59.09,158.61,134.72
328,42.84,86.8,29.42,53.75,227.72,111.93
329,49.08,82.29,35.64,53.19,222.49,106.94
330,40.27,26.98,25.36,46.21,252.1,160.23
331,26.04,337.79,18.96,25.33,215.4,195.8
332,38.29,303.07,14.7,43.65,211.82,189.28
333,256.71,308.18,0.18,33.42,222.55,196.33
334,171.32,237.31,11.13,4.88,204.38,210.99
335,205.42,224.56,343.92,337.72,205.67,220.92
336,211.33,245.13,339.45,339.57,211.94,234.52
337,297.52,266.1,337.51,346.58,229.03,227.42
338,275.95,251.1,340.77,344.11,227.4,227.72
339,227.87,249.76,350.26,349.77,221.85,230.85
340,248.06,243.73,338.11,343.45,226.4,234.52
341,239.85,225.65,336.01,331.8,224.7,234.12
342,233.86,221.84,347.89,338.24,218.92,231.4
343,124.59,102.3,20.0,3.67,218.39,233.04
344,191.09,122.72,32.08,34.64,237.79,236.17
345,149.28,129.38,46.15,29.95,243.51,234.68
346,111.11,121.46,71.51,76.4,154.23,168.9
347,66.83,93.26,17.67,64.06,72.29,99.01
348,228.83,234.28,273.91,264.89,338.23,8.64
349,227.17,53.34,270.18,90.74,348.74,2.56
350,210.3,5.2,271.17,60.18,353.61,1.43
351,208.87,7.93,270.33,57.08,8.08,17.32
352,201.36,21.92,271.58,59.26,33.75,40.84
353,296.44,73.91,314.62,18.08,13.82,8.22
354,352.47,329.17,24.4,300.16,3.93,10.77
355,21.89,311.41,28.39,316.15,353.82,7.13
356,32.34,83.95,3.55,56.26,5.65,12.76
357,182.68,220.82,180.13,190.05,351.1,2.18
358,225.62,210.76,215.83,191.45,1.32,355.89
359,189.54,179.99,277.94,267.05,18.57,21.92
360,185.42,279.24,286.67,55.76,16.39,27.79
361,189.34,287.81,282.9,64.66,16.01,24.54
362,195.63,227.9,311.35,38.21,334.46,290.93
363,176.26,186.9,315.96,1.26,298.26,248.59
364,149.67,214.74,337.24,21.04,266.8,247.54
365,98.11,198.58,299.79,43.51,283.12,30.14
366,150.8,180.33,295.99,342.9,250.41,145.78
367,174.29,150.49,299.71,351.0,309.77,2.36
368,166.27,178.83,297.38,358.78,311.25,63.2
369,187.1,187.95,332.22,334.62,169.25,82.8
370,197.03,178.02,12.46,303.23,141.73,247.45
371,201.24,185.36,0.88,318.98,155.97,219.77
372,193.99,188.28,321.08,6.73,210.51,173.43
373,176.93,181.12,292.97,16.21,234.91,146.2
374,182.03,178.34,303.14,40.08,223.82,134.66
375,164.5,183.05,295.38,31.88,207.28,98.78
376,167.95,183.05,291.2,52.89,214.65,97.01
377,171.14,188.8,292.82,45.32,213.73,112.51
378,171.97,194.77,297.64,23.42,203.11,140.49
379,171.44,187.95,300.71,19.05,191.91,148.56
380,167.45,194.87,294.7,31.55,198.19,144.83
381,168.74,204.8,290.25,35.43,205.82,146.72
382,171.68,202.84,295.52,36.48,201.48,143.12
383,171.91,209.34,293.46,37.88,202.18,147.58
384,93.19,88.65,53.77,69.81,47.42,20.32
385,184.86,145.36,142.01,127.92,28.45,8.51
386,180.32,157.22,134.41,134.04,19.73,5.76
387,181.59,148.13,134.84,122.54,18.05,4.18
388,213.79,143.57,169.25,119.13,24.75,4.94
389,164.45,131.89,100.54,103.85,23.35,7.51
390,45.33,115.94,5.77,90.55,24.12,5.11
391,116.29,109.88,53.53,81.22,24.42,6.56
392,138.81,126.8,76.5,79.36,20.8,24.39
393,70.57,117.85,26.16,79.42,21.35,12.98
394,33.94,112.49,0.86,72.66,23.72,12.19
395,40.3,107.28,6.29,68.58,28.2,15.93
396,39.25,104.17,0.07,66.57,28.35,17.19
397,58.83,108.62,18.07,65.18,32.33,19.74
398,83.57,121.83,43.62,69.65,43.21,31.88
399,117.4,160.11,79.93,84.52,46.84,31.27
400,54.13,119.4,14.01,58.0,45.54,28.15
401,74.62,120.69,23.38,56.94,43.91,26.76
402,75.12,117.89,17.96,57.17,45.6,34.84
403,67.17,112.38,7.74,52.41,35.51,28.48
404,64.37,121.71,5.2,54.13,32.46,22.95
405,59.85,119.74,3.08,54.47,35.03,20.64
406,56.16,123.3,0.83,57.63,35.96,20.47
407,49.37,120.91,345.8,51.69,32.91,25.89
408,48.06,126.46,345.5,52.9,31.54,19.37
